file,group,MJD,seeing,ra,dec,gain,readnoise,date
h_e_20150327_19_1_1_1.fits,0,57108.922687,4.493776,10:00:43.872,+02:31:13.36,1.62,8.0,2015-03-27T22:08:40.178
h_e_20140514_31_1_1_1.fits,8,56791.882232,9.496154,10:02:04.556,+02:10:54.88,1.62,8.0,2014-05-14T21:10:24.826
h_e_20140415_21_1_1_1.fits,4,56762.887581,5.053754,10:01:24.423,+02:21:05.27,1.62,8.0,2014-04-15T21:18:06.999
h_e_20150401_4_1_1_1.fits,4,57113.841355,4.798571,10:01:23.175,+02:21:12.72,1.62,8.0,2015-04-01T20:11:33.033
h_e_20140103_53_1_1_1.fits,7,56661.094164,4.548738,10:01:24.158,+02:11:11.92,1.62,8.0,2014-01-04T02:15:35.759
h_e_20131123_78_1_1_1.fits,8,56620.253136,6.490658,10:02:04.386,+02:11:15.63,1.62,8.0,2013-11-24T06:04:30.937
h_e_20150327_23_1_1_1.fits,7,57108.926698,3.281231,10:01:23.864,+02:11:15.10,1.62,8.0,2015-03-27T22:14:26.694
h_e_20140318_38_1_1_1.fits,2,56734.871732,4.518546,10:02:03.920,+02:31:12.71,1.62,8.0,2014-03-18T20:55:17.631
h_e_20150312_20_1_1_1.fits,8,57093.870482,4.07907,10:02:04.060,+02:11:09.02,1.62,8.0,2015-03-12T20:53:29.681
h_e_20131219_158_1_1_1.fits,1,56646.157313,7.437417,10:01:23.871,+02:31:13.84,1.62,8.0,2013-12-20T03:46:31.853
h_e_20140104_67_1_1_1.fits,6,56662.054459,4.458498,10:00:43.821,+02:11:07.56,1.62,8.0,2014-01-05T01:18:25.236
h_e_20140102_85_1_1_1.fits,6,56660.062352,5.043891,10:00:43.849,+02:11:05.98,1.62,8.0,2014-01-03T01:29:47.217
h_e_20140221_76_1_1_1.fits,5,56709.992096,4.252569,10:02:04.077,+02:21:14.03,1.62,8.0,2014-02-21T23:48:37.076
h_e_20140427_16_1_1_1.fits,2,56774.922402,5.668026,10:02:04.316,+02:30:44.78,1.62,8.0,2014-04-27T22:08:15.510
h_e_20140418_46_1_1_1.fits,1,56765.92048,None,10:01:24.335,+02:30:56.36,1.62,8.0,2014-04-18T22:05:29.471
h_e_20140206_38_1_1_1.fits,8,56695.006008,5.117586,10:02:04.224,+02:11:10.31,1.62,8.0,2014-02-07T00:08:39.089
h_e_20150420_20_1_1_1.fits,1,57132.912982,4.469812,10:01:23.755,+02:31:12.52,1.62,8.0,2015-04-20T21:54:41.606
h_e_20131105_93_1_1_1.fits,4,56602.213109,6.857978,10:01:24.172,+02:21:28.07,1.62,8.0,2013-11-06T05:06:52.658
h_e_20150419_11_1_1_1.fits,2,57131.844298,2.913837,10:02:03.633,+02:31:10.31,1.62,8.0,2015-04-19T20:15:47.362
h_e_20140506_35_1_1_1.fits,0,56783.890742,5.079906,10:00:44.401,+02:30:46.89,1.62,8.0,2014-05-06T21:22:40.113
h_e_20140407_25_1_1_1.fits,1,56754.91149,3.795594,10:01:24.290,+02:31:08.32,1.62,8.0,2014-04-07T21:52:32.731
h_e_20150226_25_1_1_1.fits,7,57079.918605,4.48407,10:01:24.729,+02:11:12.55,1.62,8.0,2015-02-26T22:02:47.454
h_e_20150406_17_1_1_1.fits,7,57118.869949,3.684479,10:01:23.603,+02:11:10.62,1.62,8.0,2015-04-06T20:52:43.621
h_e_20140319_32_1_1_1.fits,2,56735.882503,6.363296,10:02:04.501,+02:31:08.73,1.62,8.0,2014-03-19T21:10:48.286
h_e_20140416_9_1_1_1.fits,4,56763.867527,6.356143,10:01:24.175,+02:21:11.04,1.62,8.0,2014-04-16T20:49:14.367
h_e_20140128_70_1_1_1.fits,0,56686.002756,5.752255,10:00:43.785,+02:31:15.89,1.62,8.0,2014-01-29T00:03:58.119
h_e_20150501_15_1_1_1.fits,7,57143.866897,2.685571,10:01:23.643,+02:11:11.60,1.62,8.0,2015-05-01T20:48:19.859
h_e_20140306_22_1_1_1.fits,8,56722.867924,7.987384,10:02:03.282,+02:11:08.52,1.62,8.0,2014-03-06T20:49:48.662
h_e_20140418_50_1_1_1.fits,8,56765.924287,999.0, 10:2:4.019,+02:10:59.49,1.62,8.0,2014-04-18T22:10:58.365
h_e_20140209_29_1_1_1.fits,3,56697.993435,4.854518,10:00:44.002,+02:21:12.49,1.62,8.0,2014-02-09T23:50:32.742
h_e_20150317_9_1_1_1.fits,2,57099.022944,5.136599,10:02:05.098,+02:31:00.64,1.62,8.0,2015-03-18T00:33:02.338
h_e_20150317_11_1_1_1.fits,0,57099.024939,6.327191,10:00:45.065,+02:30:59.71,1.62,8.0,2015-03-18T00:35:54.742
h_e_20140127_77_1_1_1.fits,7,56685.064012,4.28068,10:01:24.208,+02:11:13.40,1.62,8.0,2014-01-28T01:32:10.664
h_e_20150410_12_1_1_1.fits,1,57122.842713,4.261868,10:01:23.445,+02:31:13.04,1.62,8.0,2015-04-10T20:13:30.408
h_e_20140422_27_1_1_1.fits,8,56769.888473,2.698082,10:02:03.922,+02:10:53.01,1.62,8.0,2014-04-22T21:19:24.102
h_e_20131203_11_1_1_1.fits,6,56630.239489,4.415843,10:00:44.128,+02:11:13.72,1.62,8.0,2013-12-04T05:44:51.848
h_e_20140211_44_1_1_1.fits,8,56699.923491,3.971057,10:02:03.471,+02:11:07.29,1.62,8.0,2014-02-11T22:09:49.588
h_e_20150425_11_1_1_1.fits,7,57137.856724,2.673393,10:01:23.485,+02:11:06.94,1.62,8.0,2015-04-25T20:33:40.975
h_e_20140112_74_1_1_1.fits,1,56670.009004,5.265852,10:01:23.308,+02:31:07.08,1.62,8.0,2014-01-13T00:12:57.969
h_e_20150409_10_1_1_1.fits,3,57121.860618,3.314235,10:00:43.672,+02:21:09.20,1.62,8.0,2015-04-09T20:39:17.410
h_e_20140424_46_1_1_1.fits,5,56771.89772,6.098663,10:02:04.062,+02:20:53.88,1.62,8.0,2014-04-24T21:32:43.023
